Source Type,Reference,URL,Date Checked,Why It Matters
Project doc,FPV RC Car page,,2026-05-13,"Car hardware, wheel size, battery count, camera cable lengths, PCB shield steps"
Project file,RC Car STL zip,,2026-05-13,Official printable car parts
Project file,Motor shield Gerber zip,,2026-05-13,Official PCB fabrication package
Vendor,Waveshare ESP32-S3 Zero,https://www.waveshare.com/esp32-s3-zero.htm,2026-05-13,Controller board pricing/spec snapshot
Vendor,Waveshare ESP32-S3-CAM,https://www.waveshare.com/product/esp32-s3-cam-ov5640.htm,2026-05-13,Camera board pricing/spec snapshot
Vendor,RobotShop 48mm wheel set,https://www.robotshop.com/products/48mm-steel-mecanum-wheel-set-2x-left-2x-right,2026-05-13,Current example wheel sourcing
Vendor,SparkFun RP-SMA to U.FL cable,https://www.sparkfun.com/rp-sma-to-u-fl-cable-150mm.html,2026-05-13,Current pigtail sourcing
Vendor,Adafruit 2.4GHz RP-SMA antenna,https://www.adafruit.com/product/944,2026-05-13,Current external antenna sourcing
Vendor,Make Many Robots MG90S 360 servo,https://www.makemanyrobots.com/en-us/products/mg90s-360degrees-continuous-rotation-servo-motor,2026-05-13,Current continuous-servo sourcing
Vendor,BatterySpace 6V 2200mAh NiMH pack,https://www.batteryspace.com/nimh-battery-pack-6v-2200mah-with-hitec-female-connector.aspx,2026-05-13,Battery example source
